identifier,,target URL,failures,last check,HTTP return code,resource creator,resource title,resource publisher,resource date,resource type
doi:10.7910/DVN/800EIH,https://ezid.cdlib.org/id/doi:10.7910/DVN/800EIH,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/800EIH,12,2017-05-09T06:09:26Z,404,Obi Kenneth and Clement Izuchukwu Igbanugo,Spillover Effect of US Unconventional Monetary Policy on Nigerian Economy,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/8EWO2N,https://ezid.cdlib.org/id/doi:10.7910/DVN/8EWO2N,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/8EWO2N,12,2017-05-09T06:09:32Z,404,"Dr. Budheshwar Prasad Singhraul, Vanita Kumari Soni, and Dr. Seraphinus Kispotta",Online Marketing: A New Dawn of Global Marketing,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/9L3NQB,https://ezid.cdlib.org/id/doi:10.7910/DVN/9L3NQB,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/9L3NQB,12,2017-05-09T06:09:38Z,404,Fatih BAÅ_Ã‡Ä°FTÃ‡Ä° and Kerem GENCER,Expert System Design for Performance Appraisal Using Method of Minimization of Boolean,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/AIGCHI,https://ezid.cdlib.org/id/doi:10.7910/DVN/AIGCHI,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/AIGCHI,8,2017-05-09T00:20:40Z,404,"Prof. (Dr.) Rakesh Chandra (Professor, Department of Philosophy University of Lucknow, India)",Imaginative journeys: Connecting God....Einstein and Shankardeva,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/AN1H6U,https://ezid.cdlib.org/id/doi:10.7910/DVN/AN1H6U,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/AN1H6U,8,2017-05-09T00:20:45Z,404,Dr. Edward P. Butler (Independent Scholar PhD. in Philosophy New School for Social Research New York City United States),Transformation and Individuation in Giordano Brunoâ€™s Monadology.,Harvard Dataverse,2015,Dataset
doi:10.7910/DVN/AYRCM3,https://ezid.cdlib.org/id/doi:10.7910/DVN/AYRCM3,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/AYRCM3,12,2017-05-09T06:59:18Z,404,S. Mounika and S. K. Asha,A Comparative Study on Properties of High Strength Concrete by Using GGBS and Metakaolin,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/BTG6FS,https://ezid.cdlib.org/id/doi:10.7910/DVN/BTG6FS,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/BTG6FS,12,2017-05-09T06:59:23Z,404,Shashank Tripathi and A. K. Jain,Wormhole Attack and Defense in the Integrated UMTS and WLAN Ad Hoc Network under small Scalability for Conversational Traffic,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/BTVBM5,https://ezid.cdlib.org/id/doi:10.7910/DVN/BTVBM5,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/BTVBM5,12,2017-05-09T06:59:29Z,404,Dr. Vijay Rathee and Ritu Yadav,Spirituality at Workplace: An Essence for the Business,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/CLIGUW,https://ezid.cdlib.org/id/doi:10.7910/DVN/CLIGUW,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/CLIGUW,12,2017-05-09T07:49:24Z,404,Ahsanuddin Haider,Comparative Analysis of Financial Efficiency of Bank of Baroda and HDFC Bank Using DuPont Model,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/CT5DPN,https://ezid.cdlib.org/id/doi:10.7910/DVN/CT5DPN,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CT5DPN,81,2017-05-10T05:31:19Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),"Antimicrobial Sensitivity, Biochemical Characteristics and Biotyping of Staphylococcus saprophyticus: An Impact of Biofield Energy Treatment",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/CTZSLX,https://ezid.cdlib.org/id/doi:10.7910/DVN/CTZSLX,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/CTZSLX,12,2017-05-09T07:49:30Z,404,"Paul Ndubuisi, Kalu Ebi Uma, and Paul C Obidike",FDI-Growth Nexus in Nigeria: A Co-Integration and Error Correction Tests,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/DAPJRJ,https://ezid.cdlib.org/id/doi:10.7910/DVN/DAPJRJ,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DAPJRJ,12,2017-05-09T07:49:36Z,404,Dr. Anthea Washington and Dr. Kannan Mahalingam,Perspectives on Work-Life Balance and Suggestive Design for Healthier Work-life among Employees,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/DEGGXG,https://ezid.cdlib.org/id/doi:10.7910/DVN/DEGGXG,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DEGGXG,81,2017-05-10T05:31:30Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),Antimicrobial Sensitivity Pattern of Pseudomonas fluorescens after Biofield Treatment,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/DEJ1BR,https://ezid.cdlib.org/id/doi:10.7910/DVN/DEJ1BR,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DEJ1BR,81,2017-05-10T05:31:25Z,404,Mahendra Trivedi (Trivedi Global Inc.),"Characterization of Physical, Thermal and Spectral Properties of Biofield Treated 2-Aminopyridine",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/DHDDGZ,https://ezid.cdlib.org/id/doi:10.7910/DVN/DHDDGZ,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DHDDGZ,12,2017-05-09T07:49:42Z,404,"Seyed Mostafa Mostafavi, Seyed Erfan Alhosseini Hamedani, and Alireza Slambolchi","Apparel Online Retailing: Orientation, Experience, Risks",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/DISLIN,https://ezid.cdlib.org/id/doi:10.7910/DVN/DISLIN,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DISLIN,8,2017-05-09T00:20:51Z,404,"Ali Reza Prof. Hejebri Nobari (Professor, Department of Archaeology Tarbiyat Modares University, Tehran Islamic Republic of Iran); Kouzehgari Zahra (PhD Candidate, Department of Archaeology Tarbiyat Modares University, Tehran Islamic Republic of Iran); Seyyed Mehdi Mousavi Kouhpar (Associate Professor, , Department of Archaeology Tarbiyat Modares University, Tehran Islamic Republic of Iran); Prof. Niknami Kamaladdin (Professor, Department of Archaeology, Tehran University, Tehran, Iran)",A New look at Spike Butted AXE/ ADZ-AXES in Iran,Harvard Dataverse,2015,Dataset
doi:10.7910/DVN/DNPMLL,https://ezid.cdlib.org/id/doi:10.7910/DVN/DNPMLL,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DNPMLL,12,2017-05-09T07:49:47Z,404,Dr. Mohd Yameen and Dr. Asif Pervez,"Impact of Liquidity, Solvency and Efficiency on Profitability of Steel Authority of India Limited",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/DQCEZQ,https://ezid.cdlib.org/id/doi:10.7910/DVN/DQCEZQ,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DQCEZQ,81,2017-05-10T05:31:36Z,404,Mahendra Trivedi (Trivedi Global Inc.),Biochemical Differentiation and Molecular Characterization of Biofield Treated Vibrio parahaemolyticus,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/DU8NHF,https://ezid.cdlib.org/id/doi:10.7910/DVN/DU8NHF,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DU8NHF,81,2017-05-10T05:31:42Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),"Potential Impact of Biofield Energy Treatment on the Atomic, Physical and Thermal Properties Indium Powder",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/E7DNIW,https://ezid.cdlib.org/id/doi:10.7910/DVN/E7DNIW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/E7DNIW,81,2017-05-10T05:31:47Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),Antibiogram of Multidrug-Resistant Isolates of Pseudomonas aeruginosa after Biofield Treatment,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/EF3EPN,https://ezid.cdlib.org/id/doi:10.7910/DVN/EF3EPN,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EF3EPN,81,2017-05-10T05:31:53Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),Influence of Biofield Treatment on Physical and Structural Characteristics of Barium Oxide and Zinc Sulfide,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/EUQ1IN,https://ezid.cdlib.org/id/doi:10.7910/DVN/EUQ1IN,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/EUQ1IN,81,2017-05-10T09:41:42Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),Evaluation of Vegetative Growth Parameters in Biofield Treated Bottle Gourd (Lagenaria siceraria) and Okra (Abelmoschus esculentus),Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/EXELG1,https://ezid.cdlib.org/id/doi:10.7910/DVN/EXELG1,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/EXELG1,39,2017-05-08T10:10:43Z,404,"Stefanova, Olena (V. N. Karazin Kharkiv National University)",The theoretical basis of influence and the structure of marketing environment,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/EZVUZO,https://ezid.cdlib.org/id/doi:10.7910/DVN/EZVUZO,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/EZVUZO,39,2017-05-08T10:10:49Z,404,Raghavendra S.N,DATA GLOVES USING VIRTUAL REALITY,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/FAZGQO,https://ezid.cdlib.org/id/doi:10.7910/DVN/FAZGQO,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FAZGQO,81,2017-05-10T09:41:48Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),Antibiogram of Biofield-Treated Shigella boydii: Global Burden of Infections,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/FCCC8U,https://ezid.cdlib.org/id/doi:10.7910/DVN/FCCC8U,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FCCC8U,81,2017-05-10T09:41:53Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),Physicochemical and Spectroscopic Characterization of Biofield Energy Treated Gerbera Multiplication Medium,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/FCF84E,https://ezid.cdlib.org/id/doi:10.7910/DVN/FCF84E,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FCF84E,81,2017-05-10T09:41:59Z,404,Mahendra Trivedi (Trivedi Global Inc.),Thermal and Physical Properties of Biofield Treated Bile Salt and Proteose Peptone,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/FD3GKK,https://ezid.cdlib.org/id/doi:10.7910/DVN/FD3GKK,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/FD3GKK,12,2017-05-09T09:29:35Z,404,"Imran Bashir Dar, Dr. Mohammad Majid Mahmood Bagram, Zubair Sarfraz, and Muhammad Babar Shahzad",Negative Brand Equity Incurred By Firms in Pakistan: A Marketersâ€™ Strategic Issue Identified By Islamic Business Ethics,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/FNQQJW,https://ezid.cdlib.org/id/doi:10.7910/DVN/FNQQJW,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FNQQJW,81,2017-05-10T09:42:05Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),"Experimental Investigation on Physical, Thermal and Spectroscopic Properties of 2-Chlorobenzonitrile: Impact of Biofield Treatment",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/FUB5Z0,https://ezid.cdlib.org/id/doi:10.7910/DVN/FUB5Z0,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FUB5Z0,81,2017-05-10T09:42:11Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.); Alice Branton; Dahryn Trivedi; Gopal Nayak,"Investigation of Biofield Treatment on Antimicrobial Susceptibility, Biochemical Reaction Pattern and Biotyping of Enteropathogenic Multidrug-Resistant Escherichia coli Isolates",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/G5CUMG,https://ezid.cdlib.org/id/doi:10.7910/DVN/G5CUMG,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/G5CUMG,39,2017-05-08T11:48:31Z,404,Mesut Kavak,On the Uncertainty Principle,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/GA0W1S,https://ezid.cdlib.org/id/doi:10.7910/DVN/GA0W1S,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GA0W1S,81,2017-05-10T09:42:17Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),Phenotyping and Genotyping Characterization of Proteus vulgaris After Biofield Treatment,Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/GJMOQQ,https://ezid.cdlib.org/id/doi:10.7910/DVN/GJMOQQ,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/GJMOQQ,81,2017-05-10T09:42:23Z,404,Mahendra Trivedi (Trivedi Global Inc.),"Determination of Isotopic Abundance Ratio of Biofield Energy Treated 1,4-Dichlorobenzene Using Gas Chromatography-Mass Spectrometry (GC-MS)",Harvard Dataverse,2016,Dataset
doi:10.7910/DVN/GKNBWJ,https://ezid.cdlib.org/id/doi:10.7910/DVN/GKNBWJ,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/GKNBWJ,8,2017-05-09T00:20:57Z,404,Chakraberty Puja (Guest Faculty Department of Communicative English Jamshedpur Women's College (Kolhan University) Jharkhand),"Dangerous Liasons- The Impending Discourse of ""THE FRIEND ZONE""",Harvard Dataverse,2015,Dataset
doi:10.7910/DVN/GKQFQM,https://ezid.cdlib.org/id/doi:10.7910/DVN/GKQFQM,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GKQFQM,81,2017-05-10T09:42:29Z,404,Mahendra Kumar Trivedi (Trivedi Global Inc.),"Characterisation of Physical, Spectral and Thermal Properties of Biofield treated Resorcinol",Harvard Dataverse,2016,Dataset
